step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
225,190297,225,0.015837906089604482,0.0,0.6666666666666666,0.008573900597394109,1.0,1.0,,
226,191338,226,0.01220960585824528,1.0,1.0,,,,,
227,192131,227,0.01231507702166368,0.0,0.0,,,,,
228,192764,228,0.012249562120439993,0.0,0.0,,,,,
229,193605,229,0.011992288908355167,1.0,1.0,,,,,
230,194302,230,0.012637569278220634,1.0,1.0,,,,,
231,195263,231,0.013286298839784137,1.0,1.0,,,,,
232,196120,232,0.011084996691706374,1.0,1.0,,,,,
233,196953,233,0.014413499315287815,0.0,0.6666666666666666,0.01531305178876199,0.0,0.6666666666666666,,
234,197538,234,0.016518682818434362,0.0,0.6666666666666666,,,,,
235,198395,235,0.014561448201195946,0.0,0.6666666666666666,,,,,
236,199292,236,0.012247112794898655,1.0,1.0,,,,,
237,200117,237,0.012076702283571172,1.0,1.0,,,,,
238,200902,238,0.016131484123783908,0.0,0.6666666666666666,,,,,
239,201879,239,0.016221645623633547,1.0,1.0,,,,,
240,202552,240,0.013720177145306333,1.0,1.0,,,,,
241,203137,241,0.010439357024963472,1.0,1.0,0.010225398740387475,1.0,1.0,,
242,203834,242,0.013644400691528093,0.0,0.6666666666666666,,,,0.5833333134651184,0.5607795149035651
243,204755,243,0.012253088140577927,0.0,0.0,,,,,
244,205428,244,0.01342003564305943,1.0,1.0,,,,,
245,206381,245,0.011092066313958338,0.0,0.6666666666666666,,,,,
246,207078,246,0.01138205708556131,0.0,0.6666666666666666,,,,,
247,207935,247,0.013975292603465259,0.0,0.6666666666666666,,,,,
248,208856,248,0.010113235582708421,1.0,1.0,,,,,
249,209513,249,0.012286862760829494,1.0,1.0,0.0132973262237355,0.0,0.6666666666666666,,
250,210274,250,0.01761025561693153,0.0,0.0,,,,,
251,211131,251,0.016035897583007712,0.0,0.0,,,,,
252,212228,252,0.01136776328071638,0.0,0.0,,,,,
253,213133,253,0.012551421919981211,1.0,1.0,,,,,
254,214070,254,0.012934838772848093,0.0,0.0,,,,,
255,215071,255,0.012550493235481694,0.0,0.6666666666666666,,,,,
256,216048,256,0.012354993202662182,1.0,1.0,,,,,
257,216953,257,0.01000142053214266,1.0,1.0,0.016182942093232316,1.0,1.0,,
258,217666,258,0.014491481659369601,0.0,0.6666666666666666,,,,,
259,218395,259,0.012117040347870395,1.0,1.0,,,,,
260,219444,260,0.015710580335775753,0.0,0.6666666666666666,,,,,
261,220125,261,0.011319043634654526,0.0,0.6666666666666666,,,,,
262,221174,262,0.010785252164257297,0.0,0.6666666666666666,,,,,
263,222151,263,0.011667643771799753,0.0,0.6666666666666666,,,,,
264,223080,264,0.015592241433848084,0.0,0.6666666666666666,,,,,
265,223857,265,0.01097479845212821,1.0,1.0,0.013534116345940872,0.0,0.0,,
266,224554,266,0.013590826707447785,0.0,0.0,,,,,
267,225331,267,0.010669051823552544,0.0,0.0,,,,,
268,226452,268,0.011376160743840832,0.0,0.0,,,,,
269,227357,269,0.012174252430205649,1.0,1.0,,,,,
270,228350,270,0.013263013469713963,1.0,1.0,,,,,
271,229183,271,0.010373392192035943,1.0,1.0,,,,,
272,229800,272,0.012246612336792107,1.0,1.0,,,,,
273,230769,273,0.012384255994165164,1.0,1.0,0.012122505420260247,1.0,1.0,,
274,231658,274,0.01007967174580966,1.0,1.0,,,,,
275,232587,275,0.012099027831705508,0.0,0.0,,,,,
276,233420,276,0.01185174020505023,0.0,0.6666666666666666,,,,,
277,233965,277,0.01217379812007776,0.0,0.6666666666666666,,,,,
278,234558,278,0.01276427577560321,1.0,1.0,,,,,
279,235215,279,0.011807900431595521,0.0,0.6666666666666666,,,,,
280,235928,280,0.01166775773881669,1.0,1.0,,,,,
281,236809,281,0.013262930189895904,0.0,0.0,0.01036128361966752,1.0,1.0,,
282,237490,282,0.012136397260752007,1.0,1.0,,,,,
283,238331,283,0.012039252877384598,0.0,0.0,,,,,
284,239012,284,0.013660120992779542,0.0,0.0,,,,,
285,240069,285,0.01070555055961643,1.0,1.0,,,,,
286,240838,286,0.011042968318611403,1.0,1.0,,,,,
287,241847,287,0.0114680033155983,1.0,1.0,,,,,
288,242544,288,0.014672081464536014,1.0,1.0,,,,,
289,243249,289,0.013435694691747813,1.0,1.0,0.01139635412705398,1.0,1.0,,
290,244050,290,0.012695626731511336,1.0,1.0,,,,,
291,244995,291,0.0098002691477237,1.0,1.0,,,,,
292,245852,292,0.015235505909641437,0.0,0.6666666666666666,,,,,
293,246709,293,0.015189477064212796,0.0,0.6666666666666666,,,,,
294,247526,294,0.012858936485231225,0.0,0.6666666666666666,,,,,
295,248415,295,0.013198487746074988,0.0,0.6666666666666666,,,,,
296,249136,296,0.014018864043348867,1.0,1.0,,,,,
297,249881,297,0.01391054284414293,1.0,1.0,0.0103207817085864,1.0,1.0,,
298,250674,298,0.010119668349958852,1.0,1.0,,,,,
299,251699,299,0.012594786404473287,0.0,0.0,,,,,
300,252604,300,0.011887213023432533,0.0,0.6666666666666666,,,,,
301,253549,301,0.011504256832683968,1.0,1.0,,,,,
302,254206,302,0.013258147651825612,0.0,0.6666666666666666,,,,,
303,255039,303,0.011164815899218746,1.0,1.0,,,,,
304,255768,304,0.009253547842884409,1.0,1.0,,,,,
305,256441,305,0.01235697032247896,0.0,0.0,0.015350667057428866,0.0,0.0,,
306,257226,306,0.01525572430024726,1.0,1.0,,,,,
307,258131,307,0.010183596636488554,1.0,1.0,,,,,
308,259124,308,0.013505118343965348,0.0,0.0,,,,,
309,260325,309,0.012616339295868716,1.0,1.0,,,,,
310,261062,310,0.014183365353600336,1.0,1.0,,,,,
311,261967,311,0.012261449634316145,1.0,1.0,,,,,
312,262824,312,0.01130293384392068,1.0,1.0,,,,,
313,263833,313,0.01635700996088707,0.0,0.0,0.010256441823583592,1.0,1.0,,
314,264530,314,0.014228644332927934,0.0,0.6666666666666666,,,,,
315,265731,315,0.016426993684006942,1.0,1.0,,,,,
316,266364,316,0.01509388780140119,1.0,1.0,,,,,
317,267405,317,0.011961109067995756,0.0,0.0,,,,,
318,268238,318,0.010597248767631885,1.0,1.0,,,,,
319,269119,319,0.012928574711653594,0.0,0.0,,,,,
320,269872,320,0.01008997536978477,1.0,1.0,,,,,
321,270945,321,0.011325699262131969,0.0,0.0,0.0127751175038297,0.0,0.6666666666666666,,
322,271722,322,0.008452029450430288,1.0,1.0,,,,,
323,272803,323,0.013596763360817192,0.0,0.6666666666666666,,,,,
324,274204,324,0.006679721513143528,1.0,1.0,,,,,
325,275085,325,0.009352305728784857,1.0,1.0,,,,,
326,276054,326,0.010953899748114207,1.0,1.0,,,,,
327,277247,327,0.009934829233257158,0.0,0.6666666666666666,,,,,
328,278280,328,0.012098342928742307,0.0,0.6666666666666666,,,,,
329,278985,329,0.010924232360681567,1.0,1.0,0.013166520726380481,1.0,1.0,,
330,279810,330,0.011962908698266429,1.0,1.0,,,,,
331,280579,331,0.013715801803158355,1.0,1.0,,,,,
332,281404,332,0.011537332710406287,1.0,1.0,,,,,
333,282037,333,0.01346548697458817,0.0,0.6666666666666666,,,,,
334,282934,334,0.012015349368034995,1.0,1.0,,,,,
335,283895,335,0.012282613824072664,0.0,0.0,,,,,
336,284784,336,0.007568165581262728,1.0,1.0,,,,,
337,285681,337,0.008664761743016529,1.0,1.0,0.01450280702121758,0.0,0.6666666666666666,,
338,286562,338,0.013664030018175346,0.0,0.6666666666666666,,,,,
339,287291,339,0.010304062883588637,0.0,0.0,,,,,
340,288100,340,0.011154888736605289,0.0,0.6666666666666666,,,,,
341,288989,341,0.010718352545545772,1.0,1.0,,,,,
342,289774,342,0.015418434685300773,0.0,0.6666666666666666,,,,,
343,290807,343,0.012554099908355173,1.0,1.0,,,,,
344,291480,344,0.010540778460264093,0.0,0.6666666666666666,,,,,
345,292129,345,0.01134081905422449,1.0,1.0,0.01234380373089492,0.0,0.6666666666666666,,
346,292842,346,0.011414059825408156,1.0,1.0,,,,,
347,293795,347,0.01162176697383209,1.0,1.0,,,,,
348,294468,348,0.012004374825705355,1.0,1.0,,,,,
349,295237,349,0.011586719827591333,1.0,1.0,,,,,
350,295870,350,0.009737170300631304,0.0,0.0,,,,,
351,296935,351,0.014987931729069462,0.0,0.0,,,,,
352,297904,352,0.010527193688503236,0.0,0.6666666666666666,,,,,
353,298841,353,0.011926449620364285,1.0,1.0,0.011859630788854714,0.0,0.0,,
354,299850,354,0.009496838866719398,1.0,1.0,,,,,
355,300683,355,0.011707943858597589,1.0,1.0,,,,,
356,301628,356,0.011555741154583658,0.0,0.0,,,,,
357,302413,357,0.014148141288517503,0.0,0.0,,,,,
358,303366,358,0.007700303939913022,1.0,1.0,,,,,
359,304031,359,0.01017594820149592,0.0,0.6666666666666666,,,,,
360,304920,360,0.012117995975733747,1.0,1.0,,,,,
361,305881,361,0.01318597618015949,1.0,1.0,0.011173146796684913,0.0,0.6666666666666666,,
362,306610,362,0.01110647189971385,1.0,1.0,,,,,
363,307115,363,0.010020531413291041,1.0,1.0,,,,,
364,307756,364,0.011005752943199117,1.0,1.0,,,,,
365,308669,365,0.013007054019055522,0.0,0.6666666666666666,,,,,
366,309470,366,0.011308896588654202,1.0,1.0,,,,,
367,310311,367,0.014747533538899543,0.0,0.6666666666666666,,,,,
368,311424,368,0.012499547111437258,1.0,1.0,,,,,
369,312137,369,0.013340172235228244,1.0,1.0,0.012288594998395004,1.0,1.0,,
370,312954,370,0.011683841491738478,1.0,1.0,,,,,
371,313699,371,0.009691876482023114,1.0,1.0,,,,,
372,314300,372,0.012390396118878001,1.0,1.0,,,,,
373,314989,373,0.0118626241666617,0.0,0.6666666666666666,,,,,
374,315862,374,0.009605633894901749,1.0,1.0,,,,,
375,316647,375,0.013700623209309254,1.0,1.0,,,,,
376,317176,376,0.011708583497911963,1.0,1.0,,,,,
377,318185,377,0.010912212945686315,1.0,1.0,0.014911372236434635,1.0,1.0,,
378,318874,378,0.01190226280955497,1.0,1.0,,,,,
379,319835,379,0.013155737997166295,0.0,0.0,,,,,
380,320804,380,0.01239758687263352,0.0,0.6666666666666666,,,,,
381,321781,381,0.013229716923925676,1.0,1.0,,,,,
382,322438,382,0.011605991388284763,1.0,1.0,,,,,
383,323327,383,0.012819943231984463,1.0,1.0,,,,,
384,324064,384,0.008869395624101094,1.0,1.0,,,,,
385,325041,385,0.017227026269500685,0.0,0.0,0.01239216260203412,0.0,0.0,,
386,325770,386,0.008799321704712358,1.0,1.0,,,,,
387,326435,387,0.011337320806194942,1.0,1.0,,,,,
388,327228,388,0.010903651037439574,1.0,1.0,,,,,
389,328237,389,0.013560394189260408,0.0,0.0,,,,,
390,329030,390,0.016407176571474964,0.0,0.6666666666666666,,,,,
391,329927,391,0.01242413466289943,0.0,0.0,,,,,
392,331048,392,0.010548187056197067,1.0,1.0,,,,,
393,331697,393,0.013415102177615199,1.0,1.0,0.014330838600271498,0.0,0.0,,
394,332410,394,0.01515932069258128,1.0,1.0,,,,,
395,333323,395,0.013974391549327243,0.0,0.6666666666666666,,,,,
396,333908,396,0.012351586383912724,1.0,1.0,,,,,
397,334613,397,0.015466114874040275,0.0,0.6666666666666666,,,,,
398,335398,398,0.012337169493568894,0.0,0.0,,,,,
399,336303,399,0.011446049627414348,1.0,1.0,,,,,
400,337144,400,0.01692892545963159,0.0,0.6666666666666666,,,,,
401,338025,401,0.015259287193638628,0.0,0.6666666666666666,0.013019002837859719,1.0,1.0,,
402,338674,402,0.012596101018228069,1.0,1.0,,,,,
403,339315,403,0.018180702019271792,0.0,0.6666666666666666,,,,,
404,340020,404,0.013271503437673075,1.0,1.0,,,,,
405,341021,405,0.016175175770276426,1.0,1.0,,,,,
406,342126,406,0.01175693215988113,0.0,0.6666666666666666,,,,,
407,342815,407,0.013476186371078164,1.0,1.0,,,,,
408,343544,408,0.012772839560400855,0.0,0.6666666666666666,,,,,
409,344441,409,0.013466066690917338,0.0,0.6666666666666666,0.011614967456170877,0.0,0.6666666666666666,,
410,344970,410,0.011904483983215378,0.0,0.6666666666666666,,,,,
411,346019,411,0.01672383309019684,1.0,1.0,,,,,
412,347012,412,0.012641062959323938,1.0,1.0,,,,,
413,347861,413,0.01259435373129801,1.0,1.0,,,,,
414,348702,414,0.011269292519588983,1.0,1.0,,,,,
415,349447,415,0.011445549270988632,1.0,1.0,,,,,
416,350368,416,0.013346820903348754,0.0,0.6666666666666666,,,,,
417,351161,417,0.01331919629015993,1.0,1.0,0.011161328633108664,1.0,1.0,,
418,352266,418,0.009212131325117409,1.0,1.0,,,,,
419,352907,419,0.00865868783591849,1.0,1.0,,,,,
420,353468,420,0.012274724180061576,1.0,1.0,,,,,
