step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
143,119871,143,0.01572000695067426,1.0,1.0,,,,,
144,120680,144,0.016357215232576147,0.0,0.6666666666666666,,,,,
145,121425,145,0.02423863668783705,0.0,0.0,0.021175251434659245,0.0,0.0,,
146,122338,146,0.01803693112144453,0.0,0.6666666666666666,,,,,
147,123195,147,0.014887559375912157,1.0,1.0,,,,,
148,123924,148,0.014959661127381804,1.0,1.0,,,,,
149,124757,149,0.01670458869429572,1.0,1.0,,,,,
150,125958,150,0.020579907494804577,0.0,0.6666666666666666,,,,,
151,126871,151,0.012442858026172737,1.0,1.0,,,,,
152,127648,152,0.016469570489592213,1.0,1.0,,,,,
153,128881,153,0.018116791237543933,0.0,0.0,0.017119462567001708,0.0,0.6666666666666666,,
154,129786,154,0.01688878817814505,0.0,0.6666666666666666,,,,,
155,130571,155,0.018845909920507983,0.0,0.6666666666666666,,,,,
156,131460,156,0.015811786852001204,1.0,1.0,,,,,
157,132285,157,0.017877210816843958,1.0,1.0,,,,,
158,133046,158,0.012815355909453843,1.0,1.0,,,,,
159,134015,159,0.017123900642663354,0.0,0.6666666666666666,,,,,
160,134936,160,0.0184470358908968,0.0,0.0,,,,,
161,135465,161,0.01637957386626906,1.0,1.0,0.017215642541200532,1.0,1.0,,
162,136930,162,0.015930581656739988,1.0,1.0,,,,,
163,137819,163,0.017945569816941502,1.0,1.0,,,,,
164,138628,164,0.012759095685495535,1.0,1.0,,,,,
165,139333,165,0.019074441105197997,1.0,1.0,,,,,
166,140446,166,0.016983336981096428,1.0,1.0,,,,,
167,141479,167,0.01890346509921864,0.0,0.6666666666666666,,,,,
168,142568,168,0.01620263860697914,0.0,0.0,,,,,
169,143617,169,0.014878295631259978,0.0,0.6666666666666666,0.016854834590336914,1.0,1.0,,
170,144626,170,0.021382714584792958,0.0,0.0,,,,,
171,145531,171,0.017321965762047694,0.0,0.6666666666666666,,,,,
172,146212,172,0.014947887873644598,1.0,1.0,,,,,
173,147189,173,0.018095079441264265,0.0,0.0,,,,,
174,148022,174,0.018423771362373664,0.0,0.6666666666666666,,,,,
175,148791,175,0.019292481669914433,0.0,0.6666666666666666,,,,,
176,149528,176,0.01694967802777721,0.0,0.0,,,,,
177,150265,177,0.01718875494251862,0.0,0.6666666666666666,0.019100875448244847,1.0,1.0,,
178,151050,178,0.01634436408252283,1.0,1.0,,,,,
179,151979,179,0.01887252497031404,0.0,0.6666666666666666,,,,,
180,152612,180,0.019536011731796487,1.0,1.0,,,,,
181,153469,181,0.020460177009524107,0.0,0.0,,,,,
182,154142,182,0.01819284939912481,0.0,0.0,,,,,
183,154879,183,0.01427567637040302,1.0,1.0,,,,,
184,155712,184,0.015516314756479774,1.0,1.0,,,,,
185,156521,185,0.014624495626478476,1.0,1.0,0.017195438835314002,0.0,0.0,,
186,157258,186,0.01875125360868704,1.0,1.0,,,,,
187,158163,187,0.015653995234548922,1.0,1.0,,,,,
188,159004,188,0.015836344300867545,1.0,1.0,,,,,
189,159973,189,0.01591567948500128,1.0,1.0,,,,,
190,161166,190,0.011090726555191614,1.0,1.0,,,,,
191,162159,191,0.014948172953354936,1.0,1.0,,,,,
192,163144,192,0.017674387860437735,0.0,0.0,,,,,
193,163729,193,0.02301491300791739,0.0,0.6666666666666666,0.013034534782647182,1.0,1.0,,
194,164490,194,0.024425099607371187,0.0,0.0,,,,,
195,165259,195,0.02117607444867923,0.0,0.6666666666666666,,,,,
196,166236,196,0.020541173706261323,0.0,0.0,,,,,
197,167117,197,0.014453184284862848,1.0,1.0,,,,,
198,168174,198,0.01965168808515645,0.0,0.6666666666666666,,,,,
199,168679,199,0.01977690137511322,0.0,0.6666666666666666,,,,,
200,169472,200,0.018811515941532495,0.0,0.6666666666666666,,,,,
201,170369,201,0.015283406865099469,0.0,0.6666666666666666,0.01571294148086713,0.0,0.6666666666666666,,
202,171450,202,0.017996175996074976,1.0,1.0,,,,,
203,172347,203,0.017772546140343497,1.0,1.0,,,,,
